BusPosition{identifier=11626, status=true, positionX=-46.7599515, positionY=-23.502548249999997, timeStamp=Thu Feb 06 04:38:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7599515, positionY=-23.502548249999997, timeStamp=Thu Feb 06 04:39:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7599515, positionY=-23.502548249999997, timeStamp=Thu Feb 06 04:40:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Thu Feb 06 04:41:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Thu Feb 06 04:42:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Thu Feb 06 04:43:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Thu Feb 06 04:44:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 04:45:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 04:46:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 04:47:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7431845, positionY=-23.512397, timeStamp=Thu Feb 06 04:49:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7431845, positionY=-23.512397, timeStamp=Thu Feb 06 04:50:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 04:51:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 04:52:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 04:53:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 04:54:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 04:55:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 04:56:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 04:57:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 04:58:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 04:59:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.707812000000004, positionY=-23.519320875, timeStamp=Thu Feb 06 05:00:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.707812000000004, positionY=-23.519320875, timeStamp=Thu Feb 06 05:01:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 05:02:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 05:03:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Thu Feb 06 05:48:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Thu Feb 06 05:49:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Thu Feb 06 05:50:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Thu Feb 06 05:51:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757037499999996, positionY=-23.505817, timeStamp=Thu Feb 06 05:52:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757037499999996, positionY=-23.505817, timeStamp=Thu Feb 06 05:53:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757037499999996, positionY=-23.505817, timeStamp=Thu Feb 06 05:54:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 05:55:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 05:56:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 05:57:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 05:58:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Thu Feb 06 06:00:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Thu Feb 06 06:01:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Thu Feb 06 06:02:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 06:03:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 06:04:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 06:05:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 06:06:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 06:07:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.726349, positionY=-23.515318125, timeStamp=Thu Feb 06 06:08:00 BRST 2014}
