BusPosition{identifier=21866, status=true, positionX=-46.566261999999995, positionY=-23.473931999999998, timeStamp=Wed Oct 29 10:52:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.566261999999995, positionY=-23.473931999999998, timeStamp=Wed Oct 29 10:53:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:54:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:55:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:56:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:57:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:58:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:59:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:00:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:01:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:02:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:03:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:04:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:05:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:06:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:07:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:08:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:09:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:10:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:11:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:12:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:13:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:14:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:27:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:28:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:28:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:29:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:29:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:30:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:30:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:31:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:31:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.566261999999995, positionY=-23.473931999999998, timeStamp=Wed Oct 29 11:32:00 BRST 2014}
BusPosition{identifier=21866, status=true, positionX=-46.56434325, positionY=-23.473570000000002, timeStamp=Wed Oct 29 11:33:00 BRST 2014}
