BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:05:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:06:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:07:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:08:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:09:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:10:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:11:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:12:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:13:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:14:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:15:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:16:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:17:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:18:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:19:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:20:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:21:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:22:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:23:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:24:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:25:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.761003, positionY=-23.502244500000003, timeStamp=Fri Oct 24 12:26:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.7543255, positionY=-23.508528499999997, timeStamp=Fri Oct 24 12:35:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.7543255, positionY=-23.508528499999997, timeStamp=Fri Oct 24 12:36:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.7543255, positionY=-23.508528499999997, timeStamp=Fri Oct 24 12:37:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.74768875, positionY=-23.50839075, timeStamp=Fri Oct 24 12:38:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.74755025, positionY=-23.511212, timeStamp=Fri Oct 24 12:39:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.74692706249999, positionY=-23.51316625, timeStamp=Fri Oct 24 12:40:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.744277999999994, positionY=-23.512885250000004, timeStamp=Fri Oct 24 12:41:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.744277999999994, positionY=-23.512885250000004, timeStamp=Fri Oct 24 12:42:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Fri Oct 24 12:43:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.738189750000004, positionY=-23.515072250000003, timeStamp=Fri Oct 24 12:44:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.73815125, positionY=-23.513187125, timeStamp=Fri Oct 24 12:45:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.736247500000005, positionY=-23.508764125, timeStamp=Fri Oct 24 12:46:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.729220999999995, positionY=-23.510250874999997, timeStamp=Fri Oct 24 12:47:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.726115, positionY=-23.516298, timeStamp=Fri Oct 24 12:48:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.724388875, positionY=-23.514514375, timeStamp=Fri Oct 24 12:49:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.724388875, positionY=-23.514514375, timeStamp=Fri Oct 24 12:50:00 BRST 2014}
BusPosition{identifier=11184, status=true, positionX=-46.724388875, positionY=-23.514514375, timeStamp=Fri Oct 24 12:51:00 BRST 2014}
