BusPosition{identifier=11629, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:07:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:08:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 11:11:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 11:12:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.73811875, positionY=-23.514452749999997, timeStamp=Wed Feb 05 11:13:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.73811875, positionY=-23.514452749999997, timeStamp=Wed Feb 05 11:14:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.73811875, positionY=-23.514452749999997, timeStamp=Wed Feb 05 11:15:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:16:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:17:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:18:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:19:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.7210605, positionY=-23.5141555, timeStamp=Wed Feb 05 11:21:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:22:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:23:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:24:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:25:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.711444, positionY=-23.521783125, timeStamp=Wed Feb 05 11:26:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.711444, positionY=-23.521783125, timeStamp=Wed Feb 05 11:27:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.711444, positionY=-23.521783125, timeStamp=Wed Feb 05 11:28:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.711444, positionY=-23.521783125, timeStamp=Wed Feb 05 11:29:00 BRST 2014}
