BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:24:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:25:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:26:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:27:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:28:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6630465, positionY=-23.555932, timeStamp=Tue Oct 28 18:29:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.66328375, positionY=-23.55606325, timeStamp=Tue Oct 28 18:30:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.65658125, positionY=-23.561403, timeStamp=Tue Oct 28 18:31:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.656409499999995, positionY=-23.5615545, timeStamp=Tue Oct 28 18:32:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.655691687499996, positionY=-23.562155124999997, timeStamp=Tue Oct 28 18:33:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.6558935, positionY=-23.56199, timeStamp=Tue Oct 28 18:34:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.655691687499996, positionY=-23.562155124999997, timeStamp=Tue Oct 28 18:35:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.655691687499996, positionY=-23.562155124999997, timeStamp=Tue Oct 28 18:36:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.655691687499996, positionY=-23.562155124999997, timeStamp=Tue Oct 28 18:37:00 BRST 2014}
BusPosition{identifier=21510, status=false, positionX=-46.655691687499996, positionY=-23.562155124999997, timeStamp=Tue Oct 28 18:38:00 BRST 2014}
