BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 10:59:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:00:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:01:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:02:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:03:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:04:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:05:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:06:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:07:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:08:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:09:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:10:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:11:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:12:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.5664695, positionY=-23.473906, timeStamp=Wed Oct 29 11:13:00 BRST 2014}
BusPosition{identifier=21831, status=true, positionX=-46.564516999999995, positionY=-23.476433, timeStamp=Wed Oct 29 11:14:00 BRST 2014}
